,CountryName,CountryCode,IndicatorName,IndicatorCode,Year,Value
30708,Canada,CAN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1961,3.1632916837128104
57857,Canada,CAN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1962,7.11677926679127
86229,Canada,CAN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1963,5.181776082273691
114956,Canada,CAN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1964,6.69945668193677
144779,Canada,CAN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1965,6.63654513889831
176575,Canada,CAN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1966,6.58496540750693
208271,Canada,CAN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1967,2.91531036036214
240921,Canada,CAN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1968,5.295341863528249
273635,Canada,CAN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1969,5.26000082594567
314494,Canada,CAN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1970,2.58342192543184
378144,Canada,CAN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1971,4.11765761452756
446988,Canada,CAN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1972,5.445855584893709
516878,Canada,CAN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1973,6.96420291910354
586620,Canada,CAN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1974,3.69098763568797
657348,Canada,CAN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1975,1.82297313891256
730038,Canada,CAN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1976,5.19930243782629
804045,Canada,CAN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1977,3.45823059586307
879646,Canada,CAN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1978,3.9535912676107503
955432,Canada,CAN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1979,3.80492288425546
1032860,Canada,CAN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1980,2.16261689618524
1115334,Canada,CAN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1981,3.5031195263321697
1199860,Canada,CAN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1982,-3.0202658083904903
1284995,Canada,CAN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1983,2.56606275931235
1370603,Canada,CAN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1984,5.571865346193871
1457013,Canada,CAN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1985,4.679245194897111
1544449,Canada,CAN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1986,2.19816269339181
1632758,Canada,CAN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1987,4.04227689260064
1721903,Canada,CAN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1988,4.73765343775574
1722044,Canada,CAN,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,1988,1.95594261636981
1812538,Canada,CAN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1989,2.37548627148574
1812683,Canada,CAN,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,1989,1.90672346852996
1912308,Canada,CAN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1990,0.128976309863944
1912496,Canada,CAN,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,1990,1.92804912828278
2029349,Canada,CAN,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,1991,67.9492367430928
2029471,Canada,CAN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1991,-2.12024359370649
2029668,Canada,CAN,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,1991,1.86412477291708
2029773,Canada,CAN,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,1991,14.4667246391785
